video_name,weather,split
00000001627000000-00.00.13.501-00.00.18.002-seg1,Haze,train
00000001627000000-00.00.27.003-00.00.37.020-seg2,Haze,train
00000001627000000-00.00.46.914-00.01.10.527-seg3,Haze,train
00000001627000000-00.01.49.548-00.02.36.401-seg4,Haze,test
00000001627000000-00.03.05.773-00.03.58.740-seg5,Haze,train
00000001627000000-00.04.04.050-00.04.17.665-seg6,Haze,train
00000001627000000-00.08.48.093-00.09.04.456-seg7,Haze,train
00000001627000000-00.10.25.168-00.11.13.929-seg8,Haze,train
00000001627000000-00.11.58.644-00.12.03.809-seg1,Haze,train
00000001627000000-00.14.16.393-00.14.26.414-seg2,Haze,train
00000001627000000-00.14.33.728-00.14.56.461-seg3,Haze,train
00000001627000000-00.15.47.165-00.16.03.308-seg4,Haze,test
00000001627000000-00.16.56.402-00.17.07.653-seg5,Haze,test
00000001627000000-00.18.37.864-00.19.55.186-seg6,Haze,test
00000001627000000-00.20.00.776-00.20.25.234-seg7,Haze,train
00000001627000000-00.20.31.575-00.21.21.230-seg8,Haze,test
00000001627000000-00.22.42.812-00.23.44.920-seg01,Haze,test
00000001627000000-00.23.52.384-00.24.02.488-seg02,Haze,val
00000001627000000-00.25.03.230-00.25.07.338-seg03,Haze,val
00000001627000000-00.26.54.841-00.27.06.459-seg05,Haze,train
00000001627000000-00.27.46.273-00.28.29.722-seg07-00.00.29.054-00.00.33.484-seg4,Haze,val
00000001627000000-00.27.46.273-00.28.29.722-seg07-00.00.36.223-00.00.40.557-seg5,Haze,train
00000001627000000-00.28.48.988-00.29.23.177-seg08-00.00.07.276-00.00.14.765-seg1,Haze,train
00000001627000000-00.28.48.988-00.29.23.177-seg08-00.00.15.405-00.00.24.516-seg2,Haze,test
00000001627000000-00.29.38.015-00.31.17.816-seg09-00.00.03.535-00.00.10.066-seg1,Haze,test
00000001627000000-00.29.38.015-00.31.17.816-seg09-00.00.11.849-00.00.19.963-seg2,Haze,val
00000001627000000-00.29.38.015-00.31.17.816-seg09-00.00.27.705-00.00.39.455-seg3,Haze,test
00000001627000000-00.29.38.015-00.31.17.816-seg09-00.00.57.611-00.01.08.693-seg4,Haze,train
00000001627000000-00.29.38.015-00.31.17.816-seg09-00.01.10.310-00.01.20.154-seg5,Haze,train
00000001627000000-00.29.38.015-00.31.17.816-seg09-00.01.29.965-00.01.37.767-seg6,Haze,train
00000001627000000-00.31.38.310-00.31.56.063-seg10-00.00.00.000-00.00.08.746-seg1,Haze,train
00000001627000000-00.31.38.310-00.31.56.063-seg10-00.00.08.876-00.00.14.346-seg2,Haze,val
00000001627000000-00.32.02.457-00.32.15.041-seg11-00.00.05.547-00.00.12.242,Haze,train
00000001627000000-00.33.47.875-00.34.26.382-seg12-00.00.04.360-00.00.10.214-seg1,Haze,train
00000001627000000-00.33.47.875-00.34.26.382-seg12-00.00.13.190-00.00.19.936-seg2,Haze,train
00000001627000000-00.33.47.875-00.34.26.382-seg12-00.00.20.384-00.00.26.322-seg3,Haze,train
00000002548000000-00.31.55.716-00.32.03.401-seg01,Rain,train
00000002548000000-00.33.59.193-00.34.07.067-seg03,Rain,test
00000002548000000-00.34.27.214-00.34.35.426-seg04,Rain,train
00000002548000000-00.36.51.219-00.37.01.613-seg05,Rain,train
00000002548000000-00.37.29.771-00.37.37.141-seg22,Rain,train
00000002548000000-00.37.37.123-00.37.44.672-seg06,Rain,train
00000002548000000-00.39.28.379-00.39.35.524-seg07,Rain,test
00000002548000000-00.39.44.463-00.39.52.475-seg08,Rain,test
00000002548000000-00.39.53.498-00.40.01.241-seg09,Rain,test
00000002548000000-00.40.02.437-00.40.10.380-seg10,Rain,train
00000002548000000-00.40.10.316-00.40.17.449-seg11,Rain,val
00000002548000000-00.40.23.336-00.40.31.045-seg12,Rain,val
00000002548000000-00.40.31.979-00.40.40.661-seg13,Rain,train
00000002548000000-00.40.50.022-00.40.57.315-seg14,Rain,train
00000002548000000-00.40.58.446-00.41.06.207-seg15,Rain,train
00000002548000000-00.43.41.421-00.43.48.499-seg16,Rain,val
00000002548000000-00.43.48.865-00.43.56.303-seg17,Rain,train
00000002548000000-00.45.32.478-00.45.40.063-seg18,Rain,train
00000002548000000-00.45.39.529-00.45.47.068-seg19,Rain,train
00000002548000000-00.45.46.414-00.45.53.786-seg20,Rain,train
00000002548000000-00.45.52.518-00.46.00.698-seg21,Rain,train
00000002548000000-00.45.59.134-00.46.06.415-seg23,Rain,train
00000002548000000-00.46.06.871-00.46.13.958-seg24,Rain,test
00000002548000000-00.50.27.690-00.50.35.417-seg26,Rain,test
10.10.122.37_08_20251031020511277__1,Rain,val
10.10.122.37_08_20251031020511277__2,Rain,train
10.10.122.37_08_20251031020756445__1,Rain,test
10.10.122.37_08_20251031020756445__2,Rain,train
10.10.150.207_01_20251031021659157__1,Rain,test
10.10.150.207_01_20251031021659157__2,Rain,train
10.10.150.207_01_20251031021659157__3,Rain,train
10.10.150.207_01_20251031022631510__1,Rain,train
10.10.150.207_01_20251031022631510__2,Rain,train
10.10.150.207_01_20251031022631510__3,Rain,train
10.10.150.207_01_20251031022631510__4,Rain,train
10.10.150.207_01_20251105003347628__1,Rain,test
10.10.150.207_01_20251105003347628__2,Rain,train
10.10.150.207_01_20251105003347628__3,Rain,val
10.10.150.207_01_20251122185051867__1,Haze,train
10.10.150.207_01_20251122185051867__2,Haze,train
10.10.150.207_01_20251122185051867__3,Haze,train
10.10.150.207_01_20251122185051867__4,Haze,test
10.10.150.207_01_20251122194404443__1,Haze,train
10.10.150.207_01_20251122194404443__2,Haze,val
10.10.150.207_01_2025112221182656__1,Haze,train
10.10.150.207_01_2025112221182656__2,Haze,train
10.10.150.207_01_2025112221422567__1,Haze,test
10.10.150.207_01_2025112221422567__2,Haze,train
10.10.150.207_01_2025112221422567__3,Haze,train
10.10.150.207_01_20251122214423739__1,Haze,test
10.10.150.207_01_20251122214423739__2,Haze,train
10.10.150.207_01_20251122214423739__3,Haze,val
10.10.150.207_01_20251122214423739__4,Haze,train
10.10.150.207_01_20251122214423739__5,Haze,train
10.10.150.207_01_20251122215202187__1,Haze,test
10.10.150.207_01_20251122215202187__2,Haze,val
10.10.150.207_01_20251122215700620__1,Haze,train
10.10.150.207_01_20251122215700620__2,Haze,test
10.10.150.207_01_20251122215700620__3,Haze,train
10.10.150.207_01_20251122220029863__1,Haze,test
10.10.150.207_01_20251122220029863__2,Haze,val
10.10.150.207_01_20251122220029863__3,Haze,val
10.10.150.207_01_20251122220029863__4,Haze,train
10.10.150.207_01_20251204153110900__1,Haze,train
10.10.150.207_01_20251204153110900__2,Haze,train
10.10.150.207_01_20251204153110900__3,Haze,train
10.10.150.207_01_20251204153718661__1,Haze,train
10.10.150.207_01_20251204153718661__2,Haze,train
10.10.150.207_01_20251204153718661__3,Haze,train
10.10.150.207_01_20251204155643792__1,Haze,test
10.10.150.207_01_20251204155643792__2,Haze,val
10.10.150.207_01_20251204155643792__3,Haze,train
10.10.150.207_01_20251204155846212__1,Haze,train
10.10.150.207_01_20251204155846212__2,Haze,test
10.10.150.207_01_20251204155846212__3,Haze,train
10.10.150.207_01_20251204165232277__1,Haze,train
10.10.150.207_01_20251204165232277__2,Haze,val
10.10.150.207_01_2025120416562261__1,Haze,val
